playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Stole Dimitrievski,/stole-dimitrievski/profil/spieler/165467,25,GK,North Macedonia,4000000,900000,Gimnàstic de Tarragona,/gimnastic-de-tarragona/startseite/verein/5648,Rayo Vallecano,/rayo-vallecano/startseite/verein/367,in,2018,3100000,29.0,1.88,right,ESP-La Liga,Rayo Vallecano,MKD,GK,24,1993,21,21,1890.0,21.0,35.0,1.67,95.0,59.0,69.5,5.0,4.0,12.0,3.0,14.3,7.0,6.0,1.0,0.0,14.3,2019
Alberto García,/alberto-garcia/profil/spieler/58497,33,GK,Spain,0,500000,Getafe CF,/fc-getafe/startseite/verein/3709,Rayo Vallecano,/rayo-vallecano/startseite/verein/367,in,2018,-500000,38.0,1.82,right,ESP-La Liga,Rayo Vallecano,ESP,GK,33,1985,17,17,1530.0,17.0,35.0,2.06,87.0,50.0,60.9,3.0,4.0,10.0,4.0,23.5,4.0,1.0,3.0,0.0,75.0,2019
Keylor Navas,/keylor-navas/profil/spieler/79422,32,GK,Costa Rica,4000000,15000000,Real Madrid,/real-madrid/startseite/verein/418,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2019,-11000000,36.0,1.85,right,FRA-Ligue 1,Paris S-G,CRC,GK,32,1986,21,21,1890.0,21.0,18.0,0.86,66.0,49.0,72.7,17.0,2.0,2.0,11.0,52.4,0.0,0.0,0.0,0.0,,2020
Jasper Cillessen,/jasper-cillessen/profil/spieler/146227,30,GK,Netherlands,2500000,35000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Valencia CF,/fc-valencia/startseite/verein/1049,in,2019,-32500000,34.0,1.87,right,ESP-La Liga,Valencia,NED,GK,30,1989,24,24,2096.0,23.3,30.0,1.29,109.0,78.0,78.0,10.0,7.0,7.0,5.0,20.8,8.0,6.0,2.0,0.0,25.0,2020
Neto,/neto/profil/spieler/111819,29,GK,Brazil,2500000,26000000,Valencia CF,/fc-valencia/startseite/verein/1049,FC Barcelona,/fc-barcelona/startseite/verein/131,out,2019,-23500000,33.0,1.9,right,ESP-La Liga,Barcelona,BRA,GK,30,1989,2,2,180.0,2.0,2.0,1.0,3.0,1.0,33.3,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,2020
Pau López,/pau-lopez/profil/spieler/286415,24,GK,Spain,14000000,23500000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,AS Roma,/as-rom/startseite/verein/12,out,2019,-9500000,28.0,1.89,left,ITA-Serie A,Roma,ESP,GK,24,1994,32,32,2880.0,32.0,45.0,1.41,132.0,86.0,72.0,18.0,6.0,8.0,5.0,15.6,9.0,8.0,1.0,0.0,11.1,2020
Oier Olazábal,/oier-olazabal/profil/spieler/8176,30,GK,Spain,200000,1500000,Levante UD,/ud-levante/startseite/verein/3368,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2019,-1300000,33.0,1.89,left,ESP-La Liga,Espanyol,ESP,GK,29,1989,2,2,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,2020
Sergio Rico,/sergio-rico/profil/spieler/207302,27,GK,Spain,3000000,6000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2020,-3000000,29.0,1.96,right,FRA-Ligue 1,Paris S-G,ESP,GK,26,1993,10,8,810.0,9.0,9.0,1.0,36.0,28.0,75.0,5.0,1.0,2.0,5.0,62.5,0.0,0.0,0.0,0.0,,2021
Gerónimo Rulli,/geronimo-rulli/profil/spieler/229604,28,GK,Argentina,10000000,5000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2020,5000000,31.0,1.89,right,ESP-La Liga,Villarreal,ARG,GK,28,1992,2,2,180.0,2.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Andrés Fernández,/andres-fernandez/profil/spieler/57522,33,GK,Spain,600000,500000,Villarreal CF,/fc-villarreal/startseite/verein/1050,SD Huesca,/sd-huesca/startseite/verein/5358,in,2020,100000,36.0,1.85,right,ESP-La Liga,Huesca,ESP,GK,33,1986,16,16,1440.0,16.0,21.0,1.31,54.0,34.0,66.7,2.0,8.0,6.0,4.0,25.0,3.0,3.0,0.0,0.0,0.0,2021
Luís Maximiano,/luis-maximiano/profil/spieler/367464,22,GK,Portugal,6000000,5500000,Sporting CP,/sporting-lissabon/startseite/verein/336,Granada CF,/fc-granada/startseite/verein/16795,in,2021,500000,24.0,1.9,both,ESP-La Liga,Granada,POR,GK,22,1999,35,35,3136.0,34.8,55.0,1.58,177.0,122.0,71.8,8.0,12.0,15.0,7.0,20.0,7.0,5.0,2.0,0.0,28.6,2022
Giorgi Mamardashvili,/giorgi-mamardashvili/profil/spieler/502676,21,GK,Georgia,25000000,850000,Dinamo Tbilisi,/dinamo-tiflis/startseite/verein/663,Valencia CF,/fc-valencia/startseite/verein/1049,in,2021,24150000,22.0,1.97,left,ESP-La Liga,Valencia,GEO,GK,20,2000,18,18,1620.0,18.0,20.0,1.11,75.0,55.0,76.0,5.0,7.0,6.0,8.0,44.4,2.0,2.0,0.0,0.0,0.0,2022
Dominik Greif,/dominik-greif/profil/spieler/316884,24,GK,Slovakia,1500000,2500000,Slovan Bratislava,/slovan-bratislava/startseite/verein/540,RCD Mallorca,/rcd-mallorca/startseite/verein/237,in,2021,-1000000,26.0,1.97,right,ESP-La Liga,Mallorca,SVK,GK,24,1997,1,1,90.0,1.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Gerónimo Rulli,/geronimo-rulli/profil/spieler/229604,30,GK,Argentina,10000000,8000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,out,2022,2000000,31.0,1.89,right,ESP-La Liga,Villarreal,ARG,GK,30,1992,14,14,1260.0,14.0,10.0,0.71,56.0,46.0,82.1,6.0,3.0,5.0,7.0,50.0,0.0,0.0,0.0,0.0,,2023
Agustín Marchesín,/agustin-marchesin/profil/spieler/54534,34,GK,Argentina,2000000,1050000,FC Porto,/fc-porto/startseite/verein/720,Celta de Vigo,/celta-vigo/startseite/verein/940,in,2022,950000,35.0,1.88,right,ESP-La Liga,Celta Vigo,ARG,GK,34,1988,19,19,1710.0,19.0,29.0,1.53,72.0,42.0,62.5,5.0,5.0,9.0,6.0,31.6,4.0,2.0,2.0,0.0,50.0,2023
Diego Mariño,/diego-marino/profil/spieler/59349,32,GK,Spain,300000,80000,Sporting Gijón,/sporting-gijon/startseite/verein/2448,UD Almería,/ud-almeria/startseite/verein/3302,in,2022,220000,33.0,1.87,right,ESP-La Liga,Almería,ESP,GK,32,1990,1,0,45.0,0.5,2.0,4.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2023
Fernando Pacheco,/fernando-pacheco/profil/spieler/172015,30,GK,Spain,2500000,2200000,UD Almería,/ud-almeria/startseite/verein/3302,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2022,300000,31.0,1.87,left,ESP-La Liga,Almería,ESP,GK,30,1992,1,1,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2023
Fernando Pacheco,/fernando-pacheco/profil/spieler/172015,30,GK,Spain,2500000,2200000,UD Almería,/ud-almeria/startseite/verein/3302,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,out,2022,300000,31.0,1.87,left,ESP-La Liga,Espanyol,ESP,GK,30,1992,16,16,1440.0,16.0,33.0,2.06,88.0,54.0,67.0,4.0,3.0,9.0,3.0,18.8,5.0,4.0,1.0,0.0,20.0,2023
